time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0021991149
0.0020000000,0.0087964594
0.0030000000,0.0197920335
0.0040000000,0.0351858362
0.0050000000,0.0549778658
0.0060000000,0.0791681180
0.0070000000,0.1077565855
0.0080000000,0.1407432561
0.0090000000,0.1781281112
0.0100000000,0.2199111240
0.0110000000,0.2660922569
0.0120000000,0.3166714593
0.0130000000,0.3716486649
0.0140000000,0.4310237883
0.0150000000,0.4947967225
0.0160000000,0.5629673346
0.0170000000,0.6355354623
0.0180000000,0.7125009103
0.0190000000,0.7938634453
0.0200000000,0.8796227918
0.0210000000,0.9697786274
0.0220000000,1.0643305775
0.0230000000,1.1632782099
0.0240000000,1.2666210295
0.0250000000,1.3743584722
0.0260000000,1.4864898990
0.0270000000,1.6030145894
0.0280000000,1.7239317346
0.0290000000,1.8492404314
0.0300000000,1.9789396739
0.0310000000,2.1130283472
0.0320000000,2.2515052189
0.0330000000,2.3943689317
0.0340000000,2.5416179947
0.0350000000,2.6932507757
0.0360000000,2.8492654916
0.0370000000,3.0096602002
0.0380000000,3.1744327905
0.0390000000,3.3435809736
0.0400000000,3.5171022726
0.0410000000,3.6949940129
0.0420000000,3.8772533118
0.0430000000,4.0638770681
0.0440000000,4.2548619514
0.0450000000,4.4502043909
0.0460000000,4.6499005645
0.0470000000,4.8539463869
0.0480000000,5.0623374980
0.0490000000,5.2750692513
0.0500000000,5.4921367009
0.0510000000,5.7135345898
0.0520000000,5.9392573365
0.0530000000,6.1692990225
0.0540000000,6.4036533788
0.0550000000,6.6423137726
0.0560000000,6.8852731936
0.0570000000,7.1325242400
0.0580000000,7.3840591041
0.0590000000,7.6398695586
0.0600000000,7.8999469411
0.0610000000,8.1642821399
0.0620000000,8.4328655783
0.0630000000,8.7056872000
0.0640000000,8.9827364530
0.0650000000,9.2640022739
0.0660000000,9.5494730723
0.0670000000,9.8391367141
0.0680000000,10.1329805054
0.0690000000,10.4309911758
0.0700000000,10.7331548616
0.0710000000,11.0394570887
0.0720000000,11.3498827554
0.0730000000,11.6644161150
0.0740000000,11.9830407583
0.0750000000,12.3057395954
0.0760000000,12.6324948383
0.0770000000,12.9632879821
0.0780000000,13.2980997871
0.0790000000,13.6369102602
0.0800000000,13.9796986360
0.0810000000,14.3264433583
0.0820000000,14.6771220606
0.0830000000,15.0317115477
0.0840000000,15.3901877754
0.0850000000,15.7525258321
0.0860000000,16.1186999185
0.0870000000,16.4886833280
0.0880000000,16.8624484274
0.0890000000,17.2399666361
0.0900000000,17.6212084068
0.0910000000,18.0061432050
0.0920000000,18.3947394889
0.0930000000,18.7869646887
0.0940000000,19.1827851868
0.0950000000,19.5821662968
0.0960000000,19.9850722431
0.0970000000,20.3914661406
0.0980000000,20.8013099734
0.0990000000,21.2145645749
0.1000000000,21.6311896062
0.1010000000,22.0511435364
0.1020000000,22.4743836209
0.1030000000,22.9008658812
0.1040000000,23.3305450840
0.1050000000,23.7633747205
0.1060000000,24.1993069859
0.1070000000,24.6382927583
0.1080000000,25.0802815786
0.1090000000,25.5252216298
0.1100000000,25.9730597166
0.1110000000,26.4237412449
0.1120000000,26.8772102017
0.1130000000,27.3334091350
0.1140000000,27.7922791336
0.1150000000,28.2537598077
0.1160000000,28.7177892684
0.1170000000,29.1843041091
0.1180000000,29.6532393854
0.1190000000,30.1245285964
0.1200000000,30.5981036656
0.1210000000,31.0738949220
0.1220000000,31.5518310822
0.1230000000,32.0318392316
0.1240000000,32.5138448068
0.1250000000,32.9977715778
0.1260000000,33.4835416310
0.1270000000,33.9710753517
0.1280000000,34.4602914080
0.1290000000,34.9511067341
0.1300000000,35.4434365147
0.1310000000,35.9371941692
0.1320000000,36.4322913369
0.1330000000,36.9286378623
0.1340000000,37.4261417806
0.1350000000,37.9247093046
0.1360000000,38.4242448109
0.1370000000,38.9246508276
0.1380000000,39.4258280219
0.1390000000,39.9276751888
0.1400000000,40.4300892396
0.1410000000,40.9329651920
0.1420000000,41.4361961602
0.1430000000,41.9396733456
0.1440000000,42.4432860282
0.1450000000,42.9469215594
0.1460000000,43.4504653544
0.1470000000,43.9538008860
0.1480000000,44.4568096792
0.1490000000,44.9593713063
0.1500000000,45.4613633831
0.1510000000,45.9626615654
0.1520000000,46.4631395472
0.1530000000,46.9626690590
0.1540000000,47.4611198672
0.1550000000,47.9583597752
0.1560000000,48.4542546239
0.1570000000,48.9486682951
0.1580000000,49.4414627138
0.1590000000,49.9324978538
0.1600000000,50.4216317422
0.1610000000,50.9087204665
0.1620000000,51.3936181825
0.1630000000,51.8761771227
0.1640000000,52.3562476063
0.1650000000,52.8336780510
0.1660000000,53.3083149846
0.1670000000,53.7800030595
0.1680000000,54.2485850670
0.1690000000,54.7139019537
0.1700000000,55.1757928393
0.1710000000,55.6340950355
0.1720000000,56.0886440658
0.1730000000,56.5392736878
0.1740000000,56.9858159161
0.1750000000,57.4281010468
0.1760000000,57.8659576837
0.1770000000,58.2992127659
0.1780000000,58.7276915968
0.1790000000,59.1512178748
0.1800000000,59.5696137256
0.1810000000,59.9826997362
0.1820000000,60.3902949900
0.1830000000,60.7922171045
0.1840000000,61.1882822698
0.1850000000,61.5783052892
0.1860000000,61.9620996214
0.1870000000,62.3394774250
0.1880000000,62.7102496037
0.1890000000,63.0742258541
0.1900000000,63.4312147155
0.1910000000,63.7810236206
0.1920000000,64.1234589491
0.1930000000,64.4583260823
0.1940000000,64.7854294603
0.1950000000,65.1045726408
0.1960000000,65.4155583595
0.1970000000,65.7181885934
0.1980000000,66.0122646249
0.1990000000,66.2975871088
0.2000000000,66.5739561407
0.2010000000,66.8411713278
0.2020000000,67.0990318618
0.2030000000,67.3473365931
0.2040000000,67.5858841078
0.2050000000,67.8144728068
0.2060000000,68.0329009860
0.2070000000,68.2409669200
0.2080000000,68.4384689465
0.2090000000,68.6252055536
0.2100000000,68.8009754693
0.2110000000,68.9655777520
0.2120000000,69.1188118846
0.2130000000,69.2604778696
0.2140000000,69.3903763264
0.2150000000,69.5083085915
0.2160000000,69.6140768194
0.2170000000,69.7074840869
0.2180000000,69.7883344987
0.2190000000,69.8564332952
0.2200000000,69.9115869624
0.2210000000,69.9536033440
0.2220000000,69.9822917550
0.2230000000,69.9974630977
0.2240000000,69.9989299797
0.2250000000,69.9865068337
0.2260000000,69.9600100393
0.2270000000,69.9192580465
0.2280000000,69.8640715012
0.2290000000,69.7942733731
0.2300000000,69.7096890844
0.2310000000,69.6101466409
0.2320000000,69.4954767650
