time (s),velocity (rpm)
0.0000000000,0.0357627869
0.0010000000,-0.1430511475
0.0020000000,0.0500679016
0.0030000000,0.1072883606
0.0040000000,-0.0929832458
0.0050000000,-0.0643730164
0.0060000000,0.1144409180
0.0070000000,0.0286102295
0.0080000000,-0.1072883606
0.0090000000,0.0214576721
0.0100000000,0.1144409180
0.0110000000,-0.0357627869
0.0120000000,-0.0858306885
0.0130000000,0.0858306885
0.0140000000,0.0429153442
0.0150000000,-0.0500679016
0.0160000000,0.0000000000
0.0170000000,0.0572204590
0.0180000000,0.0071525574
0.0190000000,-0.0143051147
0.0200000000,0.0572204590
0.0210000000,0.0858306885
0.0220000000,0.0786781311
0.0230000000,0.0858306885
0.0240000000,0.1645088196
0.0250000000,0.2431869507
0.0260000000,0.3218650818
0.0270000000,0.2789497375
0.0280000000,0.2932548523
0.0290000000,0.3290176392
0.0300000000,0.3147125244
0.0310000000,0.4076957703
0.0320000000,0.5435943604
0.0330000000,0.5006790161
0.0340000000,0.6294250488
0.0350000000,0.7152557373
0.0360000000,0.8082389832
0.0370000000,0.9369850159
0.0380000000,1.0657310486
0.0390000000,1.2803077698
0.0400000000,1.3732910156
0.0410000000,1.5878677368
0.0420000000,1.7738342285
0.0430000000,2.1100044250
0.0440000000,2.3603439331
0.0450000000,2.6750564575
0.0460000000,2.9969215393
0.0470000000,3.2186508179
0.0480000000,3.4761428833
0.0490000000,3.8409233093
0.0500000000,4.1055679321
0.0510000000,4.4417381287
0.0520000000,4.5990943909
0.0530000000,4.7135353088
0.0540000000,5.0497055054
0.0550000000,5.2428245544
0.0560000000,5.7005882263
0.0570000000,5.9652328491
0.0580000000,6.1941146851
0.0590000000,6.3514709473
0.0600000000,6.4730644226
0.0610000000,6.9451332092
0.0620000000,7.1954727173
0.0630000000,7.3528289795
0.0640000000,7.7819824219
0.0650000000,8.3470344543
0.0660000000,8.6903572083
0.0670000000,8.5115432739
0.0680000000,8.8334083557
0.0690000000,9.2411041260
0.0700000000,9.2267990112
0.0710000000,9.6988677979
0.0720000000,10.1494789124
0.0730000000,10.2925300598
0.0740000000,10.5714797974
0.0750000000,11.1365318298
0.0760000000,11.4154815674
0.0770000000,12.2809410095
0.0780000000,12.2165679932
0.0790000000,12.1092796326
0.0800000000,12.3882293701
0.0810000000,12.5384330750
0.0820000000,13.3824348450
0.0830000000,13.5540962219
0.0840000000,14.1263008118
0.0850000000,14.3766403198
0.0860000000,15.4423713684
0.0870000000,15.1062011719
0.0880000000,15.2420997620
0.0890000000,15.1348114014
0.0900000000,16.1647796631
0.0910000000,16.4580345154
0.0920000000,16.7369842529
0.0930000000,17.5166130066
0.0940000000,18.0888175964
0.0950000000,18.2032585144
0.0960000000,17.9958343506
0.0970000000,18.7540054321
0.0980000000,19.0401077271
0.0990000000,19.6123123169
0.1000000000,20.9712982178
0.1010000000,20.8425521851
0.1020000000,20.6208229065
0.1030000000,21.2860107422
0.1040000000,21.7080116272
0.1050000000,23.0884552002
0.1060000000,23.0741500854
0.1070000000,22.7308273315
0.1080000000,23.6892700195
0.1090000000,24.0898132324
0.1100000000,25.2556800842
0.1110000000,25.2556800842
0.1120000000,24.8980522156
0.1130000000,25.9852409363
0.1140000000,26.0996818542
0.1150000000,27.9736518860
0.1160000000,27.1296501160
0.1170000000,27.7876853943
0.1180000000,27.6231765747
0.1190000000,29.7474861145
0.1200000000,29.2611122131
0.1210000000,29.4399261475
0.1220000000,29.6545028687
0.1230000000,31.9218635559
0.1240000000,30.5700302124
0.1250000000,31.4068794250
0.1260000000,32.0792198181
0.1270000000,33.8602066040
0.1280000000,32.3295593262
0.1290000000,33.5669517517
0.1300000000,34.6970558167
0.1310000000,34.3751907349
0.1320000000,35.0832939148
0.1330000000,35.5839729309
0.1340000000,36.9071960449
0.1350000000,36.2634658813
0.1360000000,36.6568565369
0.1370000000,39.2603874207
0.1380000000,37.7583503723
0.1390000000,37.9014015198
0.1400000000,40.9555435181
0.1410000000,39.6537780762
0.1420000000,39.8540496826
0.1430000000,42.0069694519
0.1440000000,41.2988662720
0.1450000000,42.2644615173
0.1460000000,42.8795814514
0.1470000000,42.8009033203
0.1480000000,44.2385673523
0.1490000000,43.9381599426
0.1500000000,43.5876846313
0.1510000000,46.2913513184
0.1520000000,44.7964668274
0.1530000000,45.8765029907
0.1540000000,46.1626052856
0.1550000000,46.5202331543
