time (s),Amplitude - Plot 0
0,-0.0929832
0.001,0.00715256
0.002,0.0858307
0.003,0
0.004,-0.100136
0.005,0.0500679
0.006,0.0572205
0.007,-0.064373
0.008,-0.0214577
0.009,0.0858307
0.01,-0.00715256
0.011,-0.0715256
0.012,0.0500679
0.013,0.0929832
0.014,-0.064373
0.015,-0.00715256
0.016,0.0429153
0.017,-0.00715256
0.018,-0.0286102
0.019,0.0286102
0.02,0.0143051
0.021,-0.0143051
0.022,-0.0143051
0.023,0.064373
0.024,-0.0143051
0.025,-0.0143051
0.026,0.0286102
0.027,0.0357628
0.028,0.0500679
0.029,0.0429153
0.03,0.064373
0.031,0.121593
0.032,0.114441
0.033,0.107288
0.034,0.100136
0.035,0.114441
0.036,0.107288
0.037,0.135899
0.038,0.128746
0.039,0.157356
0.04,0.171661
0.041,0.193119
0.042,0.193119
0.043,0.264645
0.044,0.257492
0.045,0.300407
0.046,0.33617
0.047,0.393391
0.048,0.407696
0.049,0.450611
0.05,0.507832
0.051,0.536442
0.052,0.622272
0.053,0.729561
0.054,0.758171
0.055,0.872612
0.056,0.915527
0.057,1.04427
0.058,1.17302
0.059,1.23739
0.06,1.43051
0.061,1.60933
0.062,1.78814
0.063,1.98841
0.064,2.16722
0.065,2.22445
0.066,2.48909
0.067,2.61068
0.068,2.68221
0.069,2.85387
0.07,3.00407
0.071,3.06845
0.072,3.19004
0.073,3.30448
0.074,3.38316
0.075,3.42607
0.076,3.62635
0.077,3.81231
0.078,3.96252
0.079,4.06981
0.08,4.09126
0.081,4.18425
0.082,4.30584
0.083,4.58479
0.084,4.71354
0.085,4.94957
0.086,4.92811
0.087,4.94957
0.088,4.95672
0.089,5.14269
0.09,5.42879
0.091,5.54323
0.092,5.52893
0.093,5.64337
0.094,5.87225
0.095,6.13689
0.096,6.34432
0.097,6.40154
0.098,6.423
0.099,6.56605
0.1,6.86646
0.101,6.9952
0.102,6.9809
0.103,7.28846
0.104,7.63178
0.105,7.8392
0.106,7.62463
0.107,7.74622
0.108,8.10385
0.109,7.96795
0.11,8.08239
0.111,8.45432
0.112,8.76188
0.113,8.77619
0.114,8.75473
0.115,9.2411
0.116,9.21965
0.117,9.43422
0.118,9.99928
0.119,9.91344
0.12,9.66311
0.121,10.0851
0.122,9.9206
0.123,10.1995
0.124,10.643
0.125,10.6287
0.126,10.6931
0.127,11.1294
0.128,11.0936
0.129,11.7731
0.13,11.816
0.131,11.5514
0.132,11.9519
0.133,11.7302
0.134,12.3382
0.135,12.5527
0.136,12.4383
0.137,12.8245
0.138,13.1679
0.139,14.019
0.14,13.4039
0.141,13.5612
0.142,13.361
0.143,14.1263
0.144,14.1263
0.145,14.298
0.146,14.4768
0.147,15.4638
0.148,15.2564
0.149,15.2206
0.15,14.863
0.151,15.6641
0.152,15.5926
0.153,15.9287
0.154,16.2578
0.155,17.2949
0.156,16.6154
0.157,16.3722
0.158,16.9659
0.159,17.066
0.16,17.2591
0.161,17.7455
0.162,18.3821
0.163,17.7884
0.164,17.5166
0.165,18.4965
0.166,18.3535
0.167,18.6825
0.168,19.8054
0.169,18.9686
0.17,18.3964
0.171,19.2618
0.172,19.5622
0.173,19.6981
0.174,21.0142
0.175,20.442
0.176,19.7983
0.177,20.6566
0.178,20.6709
0.179,20.9928
0.18,22.2945
0.181,21.708
0.182,21.5149
0.183,21.8654
0.184,22.0942
0.185,23.2458
0.186,22.5949
0.187,22.316
0.188,23.0026
0.189,23.2244
0.19,24.2329
0.191,23.5248
0.192,22.8739
0.193,23.8824
0.194,23.9539
0.195,25.1555
0.196,24.5404
0.197,23.8609
0.198,24.6334
0.199,24.6191
0.2,25.9209
0.201,25.2342
0.202,25.413
0.203,25.3129
0.204,25.8279
0.205,26.5074
0.206,25.7707
0.207,25.9995
0.208,26.1283
0.209,27.616
0.21,26.6719
0.211,26.2856
0.212,26.6719
0.213,27.7734
0.214,27.8234
0.215,26.6075
0.216,27.2369
0.217,27.4658
0.218,28.5673
0.219,27.5087
0.22,27.7591
0.221,27.8664
0.222,28.9249
0.223,27.8664
0.224,28.4386
0.225,28.4886
0.226,29.7761
0.227,28.2168
0.228,28.6746
0.229,28.8606
0.23,30.3197
0.231,29.0036
0.232,29.0251
0.233,28.9035
0.234,30.2482
0.235,29.4685
0.236,29.5115
0.237,29.3112
0.238,30.3769
0.239,29.3899
0.24,29.7117
0.241,29.9191
0.242,30.8418
0.243,29.3183
0.244,29.7046
0.245,29.8977
0.246,31.1494
0.247,29.676
0.248,29.7475
0.249,29.7332
0.25,30.899
0.251,29.7403
0.252,29.8333
0.253,30.0336
0.254,30.4198
0.255,29.4685
0.256,29.8047
0.257,30.5343
0.258,30.334
0.259,29.0036
0.26,29.726
0.261,30.4699
0.262,30.3555
0.263,29.0966
0.264,29.3398
0.265,30.0193
0.266,29.7546
0.267,29.1753
0.268,29.068
0.269,29.6617
0.27,29.6259
0.271,28.6889
0.272,28.6174
0.273,29.6402
0.274,29.4328
0.275,27.9379
0.276,28.2669
0.277,29.1038
0.278,29.1038
0.279,27.4587
0.28,27.7662
0.281,27.6446
0.282,28.5101
0.283,27.1297
0.284,27.1082
0.285,26.8507
0.286,27.6947
0.287,26.4072
0.288,26.5932
0.289,26.3143
0.29,27.0796
0.291,26.2642
0.292,25.0196
0.293,25.5203
0.294,25.3415
0.295,26.2642
0.296,24.8623
0.297,24.2901
0.298,24.0827
0.299,24.0469
0.3,24.6906
0.301,23.4175
0.302,23.3173
0.303,22.645
0.304,22.788
0.305,22.8667
0.306,21.6794
0.307,21.5936
0.308,21.2717
0.309,21.1287
0.31,21.7509
0.311,20.299
0.312,19.2618
0.313,19.6552
0.314,19.1832
0.315,18.9257
0.316,19.6409
0.317,18.4035
0.318,17.252
0.319,17.3163
0.32,16.8657
0.321,16.6082
0.322,16.5009
0.323,16.7727
0.324,15.6212
0.325,14.8559
0.326,14.6413
0.327,14.4625
0.328,13.7258
0.329,13.5326
0.33,13.3109
0.331,13.3109
0.332,12.145
0.333,11.7302
0.334,10.8719
0.335,10.8933
0.336,10.6359
0.337,9.84907
0.338,9.44853
0.339,9.0909
0.34,8.47578
0.341,8.13961
0.342,7.87497
0.343,7.15256
0.344,6.27995
0.345,5.73635
0.346,5.33581
