time (s),velocity (rpm)
0.0000000000,0.0214576721
0.0010000000,-0.1788139343
0.0020000000,0.0858306885
0.0030000000,0.1215934753
0.0040000000,-0.1144409180
0.0050000000,-0.1072883606
0.0060000000,0.1859664917
0.0070000000,0.0357627869
0.0080000000,-0.1645088196
0.0090000000,0.0500679016
0.0100000000,0.1144409180
0.0110000000,-0.0858306885
0.0120000000,-0.0357627869
0.0130000000,0.1072883606
0.0140000000,0.0214576721
0.0150000000,-0.1001358032
0.0160000000,0.0500679016
0.0170000000,0.1001358032
0.0180000000,-0.0643730164
0.0190000000,0.0143051147
0.0200000000,0.0500679016
0.0210000000,0.0357627869
0.0220000000,-0.0143051147
0.0230000000,0.0214576721
0.0240000000,0.1001358032
0.0250000000,0.1001358032
0.0260000000,0.1430511475
0.0270000000,0.1931190491
0.0280000000,0.2217292786
0.0290000000,0.2145767212
0.0300000000,0.2503395081
0.0310000000,0.3004074097
0.0320000000,0.3290176392
0.0330000000,0.3433227539
0.0340000000,0.3790855408
0.0350000000,0.4363059998
0.0360000000,0.4935264587
0.0370000000,0.5221366882
0.0380000000,0.6222724915
0.0390000000,0.6651878357
0.0400000000,0.7581710815
0.0410000000,0.8296966553
0.0420000000,0.8940696716
0.0430000000,0.9799003601
0.0440000000,1.1587142944
0.0450000000,1.2731552124
0.0460000000,1.4162063599
0.0470000000,1.5878677368
0.0480000000,1.7166137695
0.0490000000,1.9168853760
0.0500000000,2.1672248840
0.0510000000,2.3746490479
0.0520000000,2.4962425232
0.0530000000,2.6392936707
0.0540000000,2.7537345886
0.0550000000,2.9397010803
0.0560000000,3.1399726868
0.0570000000,3.2687187195
0.0580000000,3.4976005554
0.0590000000,3.7193298340
0.0600000000,3.8623809814
0.0610000000,4.0912628174
0.0620000000,4.1127204895
0.0630000000,4.3201446533
0.0640000000,4.3845176697
0.0650000000,4.4703483582
0.0660000000,4.7636032104
0.0670000000,5.0568580627
0.0680000000,5.1999092102
0.0690000000,5.2785873413
0.0700000000,5.4359436035
0.0710000000,5.7506561279
0.0720000000,6.0582160950
0.0730000000,6.3943862915
0.0740000000,6.2799453735
0.0750000000,6.3228607178
0.0760000000,6.4516067505
0.0770000000,6.7734718323
0.0780000000,6.8020820618
0.0790000000,6.9451332092
0.0800000000,7.3599815369
0.0810000000,7.7676773071
0.0820000000,8.0609321594
0.0830000000,7.9250335693
0.0840000000,8.0537796021
0.0850000000,8.4900856018
0.0860000000,8.7046623230
