time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0001884956
0.0020000000,0.0007539822
0.0030000000,0.0016964600
0.0040000000,0.0030159289
0.0050000000,0.0047123890
0.0060000000,0.0067858401
0.0070000000,0.0092362823
0.0080000000,0.0120637155
0.0090000000,0.0152681396
0.0100000000,0.0188495547
0.0110000000,0.0228079605
0.0120000000,0.0271433568
0.0130000000,0.0318557435
0.0140000000,0.0369451203
0.0150000000,0.0424114867
0.0160000000,0.0482548424
0.0170000000,0.0544751867
0.0180000000,0.0610725190
0.0190000000,0.0680468385
0.0200000000,0.0753981443
0.0210000000,0.0831264352
0.0220000000,0.0912317100
0.0230000000,0.0997139672
0.0240000000,0.1085732051
0.0250000000,0.1178094217
0.0260000000,0.1274226149
0.0270000000,0.1374127822
0.0280000000,0.1477799208
0.0290000000,0.1585240276
0.0300000000,0.1696450992
0.0310000000,0.1811431317
0.0320000000,0.1930181209
0.0330000000,0.2052700622
0.0340000000,0.2178989505
0.0350000000,0.2309047801
0.0360000000,0.2442875450
0.0370000000,0.2580472384
0.0380000000,0.2721838532
0.0390000000,0.2866973815
0.0400000000,0.3015878147
0.0410000000,0.3168551438
0.0420000000,0.3324993587
0.0430000000,0.3485204490
0.0440000000,0.3649184031
0.0450000000,0.3816932087
0.0460000000,0.3988448529
0.0470000000,0.4163733215
0.0480000000,0.4342785996
0.0490000000,0.4525606712
0.0500000000,0.4712195194
0.0510000000,0.4902551260
0.0520000000,0.5096674720
0.0530000000,0.5294565369
0.0540000000,0.5496222993
0.0550000000,0.5701647363
0.0560000000,0.5910838239
0.0570000000,0.6123795366
0.0580000000,0.6340518475
0.0590000000,0.6561007284
0.0600000000,0.6785261495
0.0610000000,0.7013280794
0.0620000000,0.7245064851
0.0630000000,0.7480613321
0.0640000000,0.7719925840
0.0650000000,0.7963002026
0.0660000000,0.8209841481
0.0670000000,0.8460443787
0.0680000000,0.8714808505
0.0690000000,0.8972935178
0.0700000000,0.9234823328
0.0710000000,0.9500472455
0.0720000000,0.9769882037
0.0730000000,1.0043051531
0.0740000000,1.0319980370
0.0750000000,1.0600667963
0.0760000000,1.0885113695
0.0770000000,1.1173316924
0.0780000000,1.1465276986
0.0790000000,1.1760993188
0.0800000000,1.2060464809
0.0810000000,1.2363691102
0.0820000000,1.2670671292
0.0830000000,1.2981404573
0.0840000000,1.3295890109
0.0850000000,1.3614127034
0.0860000000,1.3936114452
0.0870000000,1.4261851432
0.0880000000,1.4591337011
0.0890000000,1.4924570193
0.0900000000,1.5261549947
0.0910000000,1.5602275207
0.0920000000,1.5946744871
0.0930000000,1.6294957799
0.0940000000,1.6646912813
0.0950000000,1.7002608700
0.0960000000,1.7362044203
0.0970000000,1.7725218028
0.0980000000,1.8092128838
0.0990000000,1.8462775255
0.1000000000,1.8837155859
0.1010000000,1.9215269185
0.1020000000,1.9597113723
0.1030000000,1.9982687921
0.1040000000,2.0371990176
0.1050000000,2.0765018840
0.1060000000,2.1161772219
0.1070000000,2.1562248566
0.1080000000,2.1966446086
0.1090000000,2.2374362933
0.1100000000,2.2785997210
0.1110000000,2.3201346965
0.1120000000,2.3620410194
0.1130000000,2.4043184837
0.1140000000,2.4469668779
0.1150000000,2.4899859848
0.1160000000,2.5333755815
0.1170000000,2.5771354390
0.1180000000,2.6212653227
0.1190000000,2.6657649915
0.1200000000,2.7106341984
0.1210000000,2.7558726900
0.1220000000,2.8014802065
0.1230000000,2.8474564817
0.1240000000,2.8938012427
0.1250000000,2.9405142099
0.1260000000,2.9875950969
0.1270000000,3.0350436103
0.1280000000,3.0828594499
0.1290000000,3.1310423079
0.1300000000,3.1795918698
0.1310000000,3.2285078133
0.1320000000,3.2777898087
0.1330000000,3.3274375189
0.1340000000,3.3774505989
0.1350000000,3.4278286958
0.1360000000,3.4785714489
0.1370000000,3.5296784895
0.1380000000,3.5811494405
0.1390000000,3.6329839167
0.1400000000,3.6851815244
0.1410000000,3.7377418613
0.1420000000,3.7906645166
0.1430000000,3.8439490706
0.1440000000,3.8975950946
0.1450000000,3.9516021512
0.1460000000,4.0059697935
0.1470000000,4.0606975656
0.1480000000,4.1157850019
0.1490000000,4.1712316276
