time (s),Amplitude - Plot 0
0,0
0.001,0.000753982
0.002,0.00301593
0.003,0.00678584
0.004,0.0120637
0.005,0.0188496
0.006,0.0271434
0.007,0.0369451
0.008,0.0482548
0.009,0.0610725
0.01,0.0753981
0.011,0.0912317
0.012,0.108573
0.013,0.127423
0.014,0.14778
0.015,0.169645
0.016,0.193018
0.017,0.217899
0.018,0.244288
0.019,0.272184
0.02,0.301588
0.021,0.332499
0.022,0.364918
0.023,0.398845
0.024,0.434279
0.025,0.47122
0.026,0.509667
0.027,0.549622
0.028,0.591084
0.029,0.634052
0.03,0.678526
0.031,0.724506
0.032,0.771993
0.033,0.820984
0.034,0.871481
0.035,0.923482
0.036,0.976988
0.037,1.032
0.038,1.08851
0.039,1.14653
0.04,1.20605
0.041,1.26707
0.042,1.32959
0.043,1.39361
0.044,1.45913
0.045,1.52615
0.046,1.59467
0.047,1.66469
0.048,1.7362
0.049,1.80921
0.05,1.88372
0.051,1.95971
0.052,2.0372
0.053,2.11618
0.054,2.19664
0.055,2.2786
0.056,2.36204
0.057,2.44697
0.058,2.53338
0.059,2.62127
0.06,2.71063
0.061,2.80148
0.062,2.8938
0.063,2.9876
0.064,3.08286
0.065,3.17959
0.066,3.27779
0.067,3.37745
0.068,3.47857
0.069,3.58115
0.07,3.68518
0.071,3.79066
0.072,3.8976
0.073,4.00597
0.074,4.11579
0.075,4.22704
0.076,4.33972
0.077,4.45384
0.078,4.56937
0.079,4.68633
0.08,4.80471
0.081,4.92449
0.082,5.04568
0.083,5.16827
0.084,5.29226
0.085,5.41763
0.086,5.5444
0.087,5.67253
0.088,5.80205
0.089,5.93292
0.09,6.06516
0.091,6.19875
0.092,6.33368
0.093,6.46996
0.094,6.60756
0.095,6.74649
0.096,6.88673
0.097,7.02829
0.098,7.17114
0.099,7.31528
0.1,7.4607
0.101,7.60739
0.102,7.75535
0.103,7.90455
0.104,8.05501
0.105,8.20669
0.106,8.3596
0.107,8.51371
0.108,8.66903
0.109,8.82553
0.11,8.98321
0.111,9.14206
0.112,9.30206
